00	26054.240642963978
01	20950.45703418793
02	35144.94008169945
03	20678.764690062493
04	7610.488806520876
05	21274.169218046325
06	22498.40867519511
07	11340.13333142895
08	22080.59610585302
09	11907.523050827149
10	16616.944746815763
11	8800.91178379344
12	26670.28815112992
13	13511.520005413116
14	9761.330259490878
15	12150.251666875654
16	29024.611581052224
17	27454.706003543957
18	25912.550733562886
19	24562.81233477187
20	22865.658793753963
21	12625.285974677217
22	26839.46287947504
23	22591.35309084567
