lat,lon,date,AQI,level
34.059626,-117.147347,2017-10-17T23:00,93,2
33.583099,-117.072197,2017-10-17T23:00,147,3
32.631229,-117.059074,2017-10-17T23:00,77,2
34.894054,-117.024756,2017-10-17T23:00,45,1
32.789561,-116.944222,2017-10-17T23:00,101,3
32.579361,-116.929486,2017-10-17T23:00,84,2
33.920758,-116.858419,2017-10-17T23:00,74,2
32.842297,-116.768326,2017-10-17T23:00,115,3
33.852605,-116.540965,2017-10-17T23:00,50,1
34.0714,-116.3906,2017-10-17T23:00,50,1
43.600699,-116.347853,2017-10-17T23:00,23,1
33.708566,-116.215394,2017-10-17T23:00,77,2
33.74127,-115.82041,2017-10-17T23:00,46,1
35.101898,-115.776703,2017-10-17T23:00,50,1
33.0325,-115.6225,2017-10-17T23:00,40,1
32.7917,-115.5617,2017-10-17T23:00,47,1
33.2136,-115.5444,2017-10-17T23:00,21,1
32.676102,-115.483299,2017-10-17T23:00,48,1
35.785672,-115.357047,2017-10-17T23:00,42,1
36.173417,-115.332714,2017-10-17T23:00,41,1
36.16975,-115.263025,2017-10-17T23:00,39,1
36.106372,-115.253353,2017-10-17T23:00,39,1
36.270583,-115.238255,2017-10-17T23:00,44,1
36.191261,-115.122931,2017-10-17T23:00,44,1
36.141894,-115.078725,2017-10-17T23:00,41,1
36.048739,-115.052881,2017-10-17T23:00,40,1
35.978125,-114.846297,2017-10-17T23:00,41,1
33.6122,-114.6006,2017-10-17T23:00,46,1
39.0053,-114.2158,2017-10-17T23:00,39,1
43.460602,-113.562202,2017-10-17T23:00,34,1
37.179,-113.3052,2017-10-17T23:00,40,1
37.1983,-113.1506,2017-10-17T23:00,41,1
33.37,-112.6207,2017-10-17T23:00,50,1
40.600556,-112.355,2017-10-17T23:00,44,1
33.6369,-112.3394,2017-10-17T23:00,61,2
33.5694,-112.1915,2017-10-17T23:00,46,1
33.29015,-112.159874,2017-10-17T23:00,49,1
36.055,-112.1531,2017-10-17T23:00,44,1
33.483799,-112.142601,2017-10-17T23:00,54,2
33.4033,-112.0731,2017-10-17T23:00,64,2
33.560299,-112.066299,2017-10-17T23:00,50,1
33.4579,-112.046,2017-10-17T23:00,50,1
40.496408,-112.036305,2017-10-17T23:00,36,1
41.492802,-112.0187,2017-10-17T23:00,38,1
33.8217,-112.0174,2017-10-17T23:00,44,1
41.206402,-111.975197,2017-10-17T23:00,34,1
33.4124,-111.9347,2017-10-17T23:00,47,1
33.4797,-111.9172,2017-10-17T23:00,46,1
33.299,-111.8843,2017-10-17T23:00,51,2
40.733501,-111.871696,2017-10-17T23:00,30,1
33.4105,-111.8651,2017-10-17T23:00,61,2
33.4883,-111.855003,2017-10-17T23:00,48,1
33.712299,-111.852699,2017-10-17T23:00,46,1
41.842778,-111.85194,2017-10-17T23:00,39,1
33.507999,-111.837799,2017-10-17T23:00,43,1
33.9828,-111.7987,2017-10-17T23:00,44,1
32.9544,-111.7622,2017-10-17T23:00,43,1
33.5079,-111.754601,2017-10-17T23:00,44,1
33.080003,-111.739298,2017-10-17T23:00,40,1
33.4522,-111.7331,2017-10-17T23:00,44,1
33.611,-111.7253,2017-10-17T23:00,41,1
33.6292,-111.676903,2017-10-17T23:00,41,1
33.7188,-111.6718,2017-10-17T23:00,34,1
40.253502,-111.6632,2017-10-17T23:00,33,1
40.136398,-111.660202,2017-10-17T23:00,39,1
33.5455,-111.6093,2017-10-17T23:00,43,1
33.420601,-111.503304,2017-10-17T23:00,43,1
32.508308,-111.30806,2017-10-17T23:00,46,1
32.3806,-111.1272,2017-10-17T23:00,43,1
32.4253,-111.0669,2017-10-17T23:00,44,1
41.3694,-111.0419,2017-10-17T23:00,40,1
31.8794,-110.9964,2017-10-17T23:00,40,1
32.2953,-110.9822,2017-10-17T23:00,42,1
32.1731,-110.9797,2017-10-17T23:00,41,1
32.0475,-110.7739,2017-10-17T23:00,40,1
39.595798,-110.769997,2017-10-17T23:00,42,1
32.1764,-110.7378,2017-10-17T23:00,40,1
43.67083,-110.599403,2017-10-17T23:00,38,1
40.2169,-110.182297,2017-10-17T23:00,46,1
42.486668,-110.099167,2017-10-17T23:00,37,1
42.7914,-110.0547,2017-10-17T23:00,38,1
40.2943,-110.009,2017-10-17T23:00,47,1
40.483799,-109.906197,2017-10-17T23:00,41,1
34.822498,-109.891899,2017-10-17T23:00,44,1
42.8698,-109.8708,2017-10-17T23:00,42,1
38.4583,-109.8211,2017-10-17T23:00,35,1
42.7186,-109.7531,2017-10-17T23:00,38,1
40.054848,-109.68737,2017-10-17T23:00,46,1
42.373001,-109.563004,2017-10-17T23:00,40,1
40.464722,-109.56083,2017-10-17T23:00,48,1
40.204433,-109.35321,2017-10-17T23:00,43,1
40.4372,-109.3047,2017-10-17T23:00,46,1
38.342763,-108.94499,2017-10-17T23:00,41,1
40.086941,-108.761002,2017-10-17T23:00,44,1
42.5275,-108.7203,2017-10-17T23:00,39,1
41.15778,-108.619446,2017-10-17T23:00,39,1
37.34997,-108.58737,2017-10-17T23:00,42,1
37.1983,-108.4903,2017-10-17T23:00,42,1
36.7969,-108.4725,2017-10-17T23:00,45,1
39.1306,-108.3139,2017-10-17T23:00,44,1
44.28,-108.041107,2017-10-17T23:00,36,1
41.6778,-108.0242,2017-10-17T23:00,31,1
36.7422,-107.9769,2017-10-17T23:00,43,1
37.10258,-107.870219,2017-10-17T23:00,45,1
40.003899,-107.847504,2017-10-17T23:00,39,1
39.541801,-107.784103,2017-10-17T23:00,40,1
36.8097,-107.6517,2017-10-17T23:00,45,1
37.13678,-107.62863,2017-10-17T23:00,47,1
44.80353,-106.961763,2017-10-17T23:00,43,1
32.3169,-106.7669,2017-10-17T23:00,44,1
34.8147,-106.7397,2017-10-17T23:00,46,1
36.187733,-106.698378,2017-10-17T23:00,46,1
31.7878,-106.6828,2017-10-17T23:00,58,2
35.0186,-106.651901,2017-10-17T23:00,46,1
31.9306,-106.6306,2017-10-17T23:00,49,1
35.1353,-106.584702,2017-10-17T23:00,48,1
31.7961,-106.5839,2017-10-17T23:00,97,2
35.2994,-106.5483,2017-10-17T23:00,47,1
35.185,-106.5077,2017-10-17T23:00,46,1
31.768056,-106.501111,2017-10-17T23:00,80,2
45.366151,-106.48982,2017-10-17T23:00,38,1
31.7656,-106.455,2017-10-17T23:00,46,1
31.893889,-106.425556,2017-10-17T23:00,48,1
32.0411,-106.4092,2017-10-17T23:00,51,2
31.7467,-106.402802,2017-10-17T23:00,42,1
42.82231,-106.36501,2017-10-17T23:00,40,1
31.7864,-106.3242,2017-10-17T23:00,31,1
31.66752,-106.28774,2017-10-17T23:00,38,1
42.846297,-106.27767,2017-10-17T23:00,39,1
35.6198,-106.0797,2017-10-17T23:00,44,1
39.2403,-105.9831,2017-10-17T23:00,37,1
41.302831,-105.586,2017-10-17T23:00,38,1
40.2778,-105.5453,2017-10-17T23:00,43,1
44.147202,-105.530296,2017-10-17T23:00,40,1
43.1,-105.5,2017-10-17T23:00,38,1
39.5415,-105.2984,2017-10-17T23:00,41,1
44.6633,-105.287498,2017-10-17T23:00,38,1
40.070007,-105.220232,2017-10-17T23:00,39,1
39.9128,-105.1883,2017-10-17T23:00,44,1
39.7419,-105.1786,2017-10-17T23:00,44,1
40.59254,-105.1411,2017-10-17T23:00,43,1
39.6389,-105.1389,2017-10-17T23:00,39,1
40.5764,-105.0794,2017-10-17T23:00,36,1
